AVAILABLE,COMBINATION,
100 | 0 | 100 | 0 | 100 | 0 | 0 | 0 | 0,010102212,
100 | 0 | 100 | 0 | 0 | 0 | 0 | 100 | 0,010122201,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,001120122,
100 | 100 | 0 | 100 | 0 | 0 | 0 | 0 | 0,001012212,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,011200122,
100 | 100 | 0 | 100 | 0 | 0 | 0 | 0 | 0,002011212,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,021200121,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 0 | 100,000012120,
0 | 100 | 0 | 0 | 100 | 100 | 0 | 0 | 0,102200112,
15197 | 52 | 0 | 0 | 0 | 35 | 46 | 45 | 0,001120002,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,002121021,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 100 | 0,002100201,
100 | 100 | 100 | 100 | 100 | 100 | 100 | 0 | 0,000000012,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,002122110,
100 | 100 | 100 | 100 | 100 | 0 | 0 | 0 | 0,000001221,
100 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0,012210021,
100 | 100 | 0 | 100 | 100 | 0 | 0 | 100 | 0,001001202,
0 | 100 | 0 | 0 | 100 | 0 | 0 | 100 | 0,102101202,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 100 | 0,001221102,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000121122,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000122211,
100 | 0 | 0 | 0 | 100 | 0 | 100 | 0 | 0,012201021,
84 | 88 | 82 | 0 | 0 | 0 | 89 | 84 | 0,000121002,
100 | 100 | 0 | 100 | 0 | 0 | 0 | 0 | 0,001012221,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 0 | 100,001202010,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 100,011201220,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,021200112,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,001121220,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 0 | 100,001100220,
0 | 100 | 0 | 0 | 100 | 100 | 0 | 0 | 0,102200121,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 100 | 0,002122101,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,002121012,
100 | 0 | 100 | 0 | 0 | 0 | 100 | 0 | 0,010112022,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 0 | 100,002100210,
100 | 100 | 0 | 100 | 100 | 100 | 0 | 0 | 0,001000122,
0 | 100 | 0 | 0 | 100 | 100 | 0 | 0 | 0,102100221,
100 | 100 | 100 | 100 | 100 | 100 | 100 | 0 | 0,000000021,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,002110122,
100 | 100 | 100 | 100 | 0 | 0 | 100 | 0 | 0,000011022,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 100 | 0,012202101,
100 | 0 | 0 | 0 | 100 | 0 | 100 | 0 | 0,012201012,
100 | 100 | 0 | 0 | 0 | 100 | 100 | 100 | 0,002110002,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 100 | 0,011202201,
100 | 100 | 100 | 0 | 0 | 0 | 100 | 0 | 100,000121020,
100 | 100 | 0 | 0 | 0 | 100 | 100 | 0 | 100,001120020,
11352 | 17683 | 0 | 0 | 0 | 0 | 0 | 16534 | 0,001122201,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,001210221,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,002121120,
100 | 0 | 100 | 0 | 100 | 0 | 0 | 0 | 0,010202112,
100 | 100 | 100 | 100 | 100 | 0 | 0 | 100 | 100,000001200,
0 | 100 | 0 | 100 | 100 | 0 | 0 | 0 | 0,101002212,
100 | 100 | 0 | 100 | 100 | 100 | 0 | 0 | 0,001000212,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 100 | 0,000012102,
100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100,010102020,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,001220112,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000122112,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 100,012201120,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 100,011202210,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,021200211,
100 | 100 | 0 | 100 | 0 | 0 | 0 | 100 | 100,001012200,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 100 | 0,001100202,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,001122210,
100 | 100 | 0 | 100 | 0 | 0 | 0 | 0 | 0,002011221,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,001210212,
12468 | 7121 | 24013 | 2619 | 9201 | 3753 | 20561 | 4652 | 14418,000000000,
939 | 0 | 0 | 0 | 0 | 0 | 978 | 0 | 1000,012211020,
100 | 100 | 100 | 100 | 100 | 0 | 0 | 0 | 0,000001212,
100 | 100 | 0 | 100 | 0 | 0 | 0 | 0 | 0,001022121,
0 | 100 | 0 | 0 | 100 | 0 | 0 | 100 | 0,101102202,
100 | 100 | 0 | 100 | 100 | 100 | 0 | 0 | 0,001000221,
0 | 100 | 0 | 100 | 100 | 0 | 0 | 0 | 0,101002221,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,002110221,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,001220121,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,001221210,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 0 | 100,000012210,
100 | 100 | 0 | 0 | 0 | 100 | 100 | 100 | 0,001220001,
100 | 100 | 0 | 100 | 100 | 100 | 0 | 0 | 0,002000211,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 100 | 100,000122100,
100 | 0 | 100 | 0 | 0 | 0 | 100 | 0 | 0,010212021,
100 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0,002010201,
