2022-04-27 23:38:24.616 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 1
2022-04-27 23:38:24.616 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010000
2022-04-27 23:38:24.619 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000010200->000010002
2022-04-27 23:38:24.619 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010002
2022-04-27 23:38:24.619 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.619 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010010002
2022-04-27 23:38:24.621 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 010010022->000112002
2022-04-27 23:38:24.622 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000112002
2022-04-27 23:38:24.622 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.622 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001112002
2022-04-27 23:38:24.624 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001112202
2022-04-27 23:38:24.625 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.625 [main] INFO  org.apache.logging.log4j.LogManager - Board state 101112202
2022-04-27 23:38:24.625 [main] INFO  org.apache.logging.log4j.LogManager - Human: 101112222
2022-04-27 23:38:24.627 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.627 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.628 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001000000
2022-04-27 23:38:24.629 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 001020000->000020001
2022-04-27 23:38:24.630 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020001
2022-04-27 23:38:24.630 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 0
2022-04-27 23:38:24.630 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020101
2022-04-27 23:38:24.631 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020121
2022-04-27 23:38:24.631 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 0
2022-04-27 23:38:24.631 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000120121
2022-04-27 23:38:24.631 [main] INFO  org.apache.logging.log4j.LogManager - Human: 020120121
2022-04-27 23:38:24.632 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.632 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 1
2022-04-27 23:38:24.632 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000010
2022-04-27 23:38:24.634 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.634 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 0
2022-04-27 23:38:24.634 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000120010
2022-04-27 23:38:24.636 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000120012->000021210
2022-04-27 23:38:24.636 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000021210
2022-04-27 23:38:24.636 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 2
2022-04-27 23:38:24.636 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000021211
2022-04-27 23:38:24.636 [main] INFO  org.apache.logging.log4j.LogManager - Human: 002021211
2022-04-27 23:38:24.636 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.636 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 1
2022-04-27 23:38:24.637 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000010
2022-04-27 23:38:24.638 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.638 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 2
2022-04-27 23:38:24.638 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000021010
2022-04-27 23:38:24.639 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000021012
2022-04-27 23:38:24.639 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.639 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001021012
2022-04-27 23:38:24.639 [main] INFO  org.apache.logging.log4j.LogManager - Human: 201021012
2022-04-27 23:38:24.640 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.641 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.641 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001000000
2022-04-27 23:38:24.642 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 001020000->000020001
2022-04-27 23:38:24.642 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020001
2022-04-27 23:38:24.642 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 2
2022-04-27 23:38:24.642 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000021001
2022-04-27 23:38:24.643 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 002021001->000020112
2022-04-27 23:38:24.643 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020112
2022-04-27 23:38:24.644 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.644 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010020112
2022-04-27 23:38:24.644 [main] INFO  org.apache.logging.log4j.LogManager - Human: 210020112
2022-04-27 23:38:24.645 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.645 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 2
2022-04-27 23:38:24.645 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000001
2022-04-27 23:38:24.646 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020001
